iter	Passed	Remaining
0	140	140831
1	144	72323
2	149	49528
3	151	37632
4	153	30508
5	155	25748
6	157	22337
7	159	19787
8	161	17802
9	163	16215
10	165	14916
11	168	13836
12	170	12925
13	172	12136
14	174	11451
15	176	10830
16	177	10258
17	178	9748
18	179	9290
19	181	8881
20	182	8509
21	183	8169
22	184	7857
23	186	7572
24	187	7310
25	188	7069
26	190	6847
27	191	6639
28	192	6461
29	194	6280
30	195	6111
31	196	5952
32	198	5802
33	199	5661
34	200	5527
35	201	5401
36	202	5281
37	204	5167
38	205	5059
39	206	4958
40	207	4861
41	209	4769
42	210	4682
43	211	4597
44	212	4516
45	214	4438
46	215	4364
47	216	4294
48	217	4226
49	219	4161
50	220	4099
51	221	4039
52	222	3980
53	224	3924
54	225	3871
55	226	3819
56	227	3769
57	229	3721
58	230	3674
59	231	3628
60	232	3583
61	234	3542
62	235	3501
63	236	3460
64	237	3421
65	239	3383
66	240	3346
67	241	3303
68	242	3268
69	243	3234
70	244	3201
71	245	3169
72	247	3138
73	248	3108
74	249	3080
75	251	3052
76	252	3024
77	253	2997
78	254	2971
79	256	2944
80	257	2918
81	258	2893
82	259	2869
83	261	2846
84	261	2819
85	263	2797
86	264	2770
87	265	2749
88	266	2728
89	267	2707
90	269	2687
91	270	2667
92	271	2648
93	272	2629
94	274	2610
95	275	2592
96	276	2574
97	277	2556
98	278	2538
99	280	2522
100	281	2505
101	282	2484
102	283	2467
103	284	2451
104	285	2436
105	287	2421
106	288	2406
107	289	2391
108	291	2378
109	292	2364
110	293	2350
111	294	2336
112	295	2322
113	297	2308
114	298	2295
115	299	2280
116	300	2267
117	301	2254
118	302	2240
119	304	2229
120	305	2219
121	307	2209
122	307	2195
123	309	2185
124	310	2175
125	312	2165
126	313	2154
127	314	2140
128	315	2130
129	316	2121
130	318	2112
131	319	2102
132	320	2092
133	322	2082
134	323	2072
135	324	2063
136	326	2053
137	327	2042
138	328	2033
139	329	2024
140	330	2015
141	332	2006
142	333	1997
143	334	1988
144	335	1980
145	337	1971
146	338	1964
147	339	1955
148	340	1947
149	342	1939
150	343	1931
151	344	1923
152	346	1915
153	347	1907
154	348	1899
155	349	1892
156	350	1884
157	352	1877
158	353	1869
159	354	1862
160	356	1855
161	357	1848
162	358	1841
163	359	1835
164	361	1828
165	362	1821
166	363	1814
167	365	1807
168	366	1800
169	367	1794
170	368	1787
171	370	1781
172	371	1774
173	372	1768
174	373	1762
175	375	1756
176	376	1749
177	377	1743
178	378	1737
179	380	1731
180	380	1722
181	381	1716
182	383	1710
183	384	1704
184	385	1698
185	386	1692
186	387	1686
187	389	1681
188	390	1675
189	391	1669
190	392	1664
191	394	1658
192	395	1653
193	396	1647
194	397	1642
195	399	1637
196	400	1632
197	401	1626
198	402	1621
199	404	1616
200	405	1611
201	406	1606
202	407	1601
203	409	1595
204	410	1590
205	411	1585
206	412	1580
207	414	1576
208	415	1571
209	416	1566
210	417	1561
211	418	1557
212	420	1552
213	421	1547
214	422	1543
215	423	1538
216	425	1533
217	426	1528
218	427	1524
219	428	1520
220	430	1517
221	431	1512
222	432	1508
223	434	1503
224	435	1499
225	436	1494
226	437	1490
227	438	1486
228	440	1481
229	441	1477
230	443	1475
231	444	1471
232	445	1467
233	447	1463
234	448	1459
235	449	1455
236	450	1451
237	451	1447
238	453	1443
239	454	1439
240	455	1435
241	457	1431
242	458	1428
243	459	1424
244	460	1420
245	462	1416
246	463	1413
247	464	1409
248	466	1405
249	467	1402
250	468	1398
251	469	1394
252	471	1391
253	472	1387
254	473	1384
255	475	1380
256	476	1377
257	477	1373
258	478	1370
259	480	1366
260	481	1363
261	482	1359
262	484	1356
263	485	1353
264	486	1350
265	488	1346
266	489	1343
267	490	1339
268	491	1336
269	492	1332
270	494	1329
271	495	1325
272	496	1322
273	497	1318
274	498	1315
275	500	1312
276	501	1308
277	502	1305
278	503	1302
279	505	1299
280	506	1295
281	507	1292
282	508	1289
283	510	1285
284	511	1282
285	512	1280
286	514	1277
287	515	1275
288	516	1271
289	518	1268
290	519	1265
291	520	1262
292	522	1259
293	523	1256
294	524	1253
295	525	1250
296	527	1247
297	528	1244
298	529	1241
299	530	1238
300	532	1235
301	533	1232
302	534	1229
303	535	1226
304	537	1223
305	538	1220
306	539	1217
307	540	1215
308	542	1212
309	543	1209
310	544	1206
311	545	1203
312	547	1200
313	548	1197
314	549	1194
315	550	1191
316	551	1188
317	552	1185
318	554	1183
319	555	1180
320	556	1177
321	557	1174
322	558	1171
323	560	1168
324	561	1166
325	562	1163
326	563	1160
327	565	1157
328	566	1155
329	567	1152
330	569	1150
331	570	1147
332	571	1144
333	572	1142
334	573	1139
335	575	1136
336	576	1134
337	577	1131
338	578	1128
339	580	1126
340	581	1123
341	582	1121
342	583	1118
343	585	1115
344	586	1113
345	587	1110
346	588	1108
347	590	1105
348	591	1102
349	592	1100
350	593	1097
351	594	1095
352	596	1092
353	597	1090
354	598	1087
355	599	1084
356	600	1082
357	602	1079
358	603	1077
359	604	1074
360	605	1072
361	607	1069
362	608	1067
363	609	1065
364	610	1062
365	612	1060
366	613	1057
367	614	1055
368	615	1053
369	617	1050
370	618	1048
371	619	1045
372	620	1043
373	621	1040
374	623	1038
375	624	1036
376	626	1034
377	627	1032
378	628	1030
379	629	1027
380	631	1025
381	632	1022
382	633	1020
383	634	1018
384	635	1015
385	637	1013
386	638	1011
387	639	1009
388	640	1006
389	642	1004
390	643	1002
391	644	1000
392	645	997
393	647	995
394	648	993
395	649	990
396	651	989
397	652	987
398	654	985
399	655	983
400	657	981
401	658	979
402	660	977
403	661	975
404	662	973
405	663	971
406	665	969
407	666	966
408	667	964
409	668	962
410	669	960
411	671	957
412	672	955
413	673	953
414	675	951
415	676	949
416	677	947
417	678	945
418	680	943
419	681	941
420	682	938
421	683	936
422	685	934
423	686	932
424	687	930
425	688	928
426	690	926
427	691	924
428	692	921
429	693	919
430	695	917
431	696	915
432	697	913
433	698	911
434	699	909
435	701	907
436	702	904
437	703	902
438	704	900
439	706	898
440	707	896
441	708	894
442	710	892
443	711	890
444	712	888
445	713	886
446	715	884
447	716	882
448	717	880
449	718	878
450	720	876
451	721	874
452	723	873
453	724	871
454	725	869
455	726	867
456	728	865
457	729	863
458	730	861
459	731	859
460	732	857
461	734	854
462	735	853
463	736	851
464	738	849
465	739	847
466	740	845
467	741	843
468	743	841
469	744	839
470	745	837
471	746	835
472	747	833
473	749	831
474	750	829
475	751	827
476	752	825
477	754	823
478	755	821
479	756	819
480	757	817
481	758	815
482	760	813
483	761	811
484	762	809
485	763	807
486	765	806
487	766	804
488	767	802
489	768	800
490	770	798
491	771	796
492	772	794
493	773	792
494	774	790
495	776	788
496	777	786
497	779	785
498	780	783
499	781	781
500	783	779
501	784	777
502	785	776
503	786	774
504	787	772
505	789	770
506	790	768
507	791	766
508	793	765
509	794	763
510	795	761
511	797	759
512	798	757
513	799	756
514	800	754
515	802	752
516	803	750
517	804	748
518	805	746
519	807	745
520	808	743
521	809	741
522	810	739
523	812	737
524	813	735
525	814	734
526	815	732
527	817	730
528	818	728
529	819	726
530	820	725
531	822	723
532	823	721
533	824	719
534	825	717
535	827	715
536	828	714
537	829	712
538	830	710
539	832	708
540	833	706
541	834	705
542	835	703
543	837	701
544	838	699
545	839	698
546	840	696
547	842	694
548	843	692
549	844	690
550	845	689
551	846	687
552	848	685
553	849	683
554	850	682
555	851	680
556	853	678
557	854	676
558	855	675
559	856	673
560	858	671
561	859	669
562	860	668
563	861	666
564	863	664
565	864	662
566	865	661
567	866	659
568	867	657
569	869	655
570	870	654
571	871	652
572	872	650
573	874	648
574	875	647
575	877	645
576	878	643
577	879	642
578	880	640
579	882	638
580	883	636
581	884	635
582	885	633
583	887	631
584	888	630
585	889	628
586	890	626
587	892	625
588	893	623
589	894	621
590	895	619
591	896	618
592	898	616
593	899	614
594	900	612
595	901	611
596	903	609
597	904	607
598	905	606
599	906	604
600	907	602
601	909	600
602	910	599
603	911	597
604	912	595
605	913	594
606	915	592
607	916	590
608	917	589
609	919	587
610	920	585
611	921	584
612	922	582
613	923	580
614	925	579
615	926	577
616	927	575
617	928	574
618	930	572
619	931	570
620	932	569
621	933	567
622	935	565
623	936	564
624	937	562
625	938	560
626	939	558
627	940	557
628	942	555
629	943	554
630	944	552
631	945	550
632	946	549
633	948	547
634	949	545
635	950	543
636	951	542
637	952	540
638	954	539
639	955	537
640	956	535
641	957	534
642	959	532
643	960	530
644	961	529
645	963	527
646	964	526
647	965	524
648	966	522
649	968	521
650	969	519
651	970	518
652	971	516
653	973	514
654	974	513
655	975	511
656	977	510
657	978	508
658	979	506
659	980	505
660	981	503
661	983	502
662	984	500
663	985	498
664	987	497
665	988	495
666	989	494
667	990	492
668	992	490
669	993	489
670	994	487
671	995	486
672	997	484
673	998	482
674	999	481
675	1001	479
676	1002	478
677	1003	476
678	1004	474
679	1005	473
680	1007	471
681	1008	470
682	1009	468
683	1010	466
684	1012	465
685	1013	464
686	1015	462
687	1016	461
688	1018	459
689	1019	458
690	1020	456
691	1022	454
692	1023	453
693	1024	451
694	1026	450
695	1027	448
696	1028	447
697	1029	445
698	1030	443
699	1032	442
700	1033	440
701	1034	439
702	1035	437
703	1037	436
704	1038	434
705	1039	432
706	1040	431
707	1041	429
708	1042	428
709	1044	426
